시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,시도코드,시도명,시군구코드,시군구명,폐교명,폐교연도,학교급구분명,활용현황구분명,건물연면적,대지,담당자 부서명,담당자 전화번호,소재지도로명주소,소재지지번주소,데이터기준일자,제공기관코드,제공기관명
8750000,경상북도교육청,8821000,경상북도교육청영천교육지원청,47,경상북도,230,영천시,화산중학교,2026,초등학교,자체활용,2036,17642,행정지원과,054-330-2434,경상북도 영천시 화산면 연유길 14,경상북도 영천시 화산면 유성리 1360-1,2026-06-18,8821000,경상북도교육청 경상북도영천교육지원청
8750000,경상북도교육청,8821000,경상북도교육청영천교육지원청,47,경상북도,230,영천시,고경초등학교 삼귀분교장,1995,초등학교,대부,210,11174,행정지원과,054-330-2434,경상북도 영천시 고경면 차당실로 435-32,경상북도 영천시 고경면 차당리 산51-2,2026-06-18,8821000,경상북도교육청 경상북도영천교육지원청
8750000,경상북도교육청,8821000,경상북도교육청영천교육지원청,47,경상북도,230,영천시,금호남부초등학교,1995,초등학교,대부,1600,11412,행정지원과,054-330-2434,경상북도 영천시 금호읍 칠백로 339,경상북도 영천시 금호읍 호남리 30,2026-06-18,8821000,경상북도교육청 경상북도영천교육지원청
8750000,경상북도교육청,8821000,경상북도교육청영천교육지원청,47,경상북도,230,영천시,청경초등학교,1998,초등학교,자체활용,2598,18132,행정지원과,054-330-2434,경상북도 영천시 고경면 호국로 791,경상북도 영천시 고경면 도암리 147,2026-06-18,8821000,경상북도교육청 경상북도영천교육지원청
8750000,경상북도교육청,8821000,경상북도교육청영천교육지원청,47,경상북도,230,영천시,영도초등학교,1999,초등학교,대부,3186,10117,행정지원과,054-330-2434,경상북도 영천시 산업단지로 164,경상북도 영천시 본촌동 335-2,2026-06-18,8821000,경상북도교육청 경상북도영천교육지원청
8750000,경상북도교육청,8821000,경상북도교육청영천교육지원청,47,경상북도,230,영천시,영북초등학교,2007,초등학교,자체활용,1844,15726,행정지원과,054-330-2434,경상북도 영천시 봉계길 58,경상북도 영천시 녹전동 116-1,2026-06-18,8821000,경상북도교육청 경상북도영천교육지원청
8750000,경상북도교육청,8821000,경상북도교육청영천교육지원청,47,경상북도,230,영천시,화남초등학교 죽곡분교장,1995,초등학교,대부,1103,7857,행정지원과,054-330-2434,경상북도 영천시 화남면 신선로 310,경상북도 영천시 화남면 죽곡리 650-2,2026-06-18,8821000,경상북도교육청 경상북도영천교육지원청
8750000,경상북도교육청,8821000,경상북도교육청영천교육지원청,47,경상북도,230,영천시,자양초등학교 신방분교장,1999,초등학교,대부,508,7300,행정지원과,054-330-2434,경상북도 영천시 자양면 신방로 626,경상북도 영천시 자양면 신방리 803,2026-06-18,8821000,경상북도교육청 경상북도영천교육지원청
8750000,경상북도교육청,8821000,경상북도교육청영천교육지원청,47,경상북도,230,영천시,석계초등학교,1993,초등학교,미활용,1245,15102,행정지원과,054-330-2434,경상북도 영천시 고경면 상계로 165,경상북도 영천시 고경면 석계리 5-2,2026-06-18,8821000,경상북도교육청 경상북도영천교육지원청
8750000,경상북도교육청,8821000,경상북도교육청영천교육지원청,47,경상북도,230,영천시,명주초등학교,1999,초등학교,미활용,973,11446,행정지원과,054-330-2434,경상북도 영천시 북안면 운북로 1447,경상북도 영천시 북안면 명주리 307-1,2026-06-18,8821000,경상북도교육청 경상북도영천교육지원청
