구분,활용유형,지역명,폐교명,폐교연도,소재지,건물 연면적,토지 면적,토지 대장가격(천원) 
미활용,미활용,봉화,상운중학교,2017,경상북도 봉화군 상운면 예봉로 1270-10,2056,15195,0
대부,대부,봉화,법전중학교,2017,경상북도 봉화군 법전면 법전로 41-25,1278,21458,0
자체활용,자체활용,봉화,소천고등학교,2018,경상북도 봉화군 소천면 소천로 1237,2778,99316,0
대부,대부,봉화,물야초등학교 수식분교장,2016,경상북도 봉화군 물야면 두문로 370,701,7475,0
자체활용,자체활용,봉화,명호중학교,2017,경상북도 봉화군 명호면 양지마을길 14,9027,29335,0
대부,대부,봉화,물야초등학교 개단분교장,2012,경상북도 봉화군 물야면 월계길 321,1032,6438,0
자체활용,자체활용,봉화,봉화여자중·고등학교,2007,경상북도 봉화군 봉화읍 솔안4길 12,968,20712,0
자체활용,자체활용,봉화,법전초등학교,1999,경상북도 봉화군 춘양면 소천로 92,2331,12819,0
미활용,미활용,봉화,고양초등학교,1991,경상북도 봉화군 명호면 양곡길 481,959,8206,0
미활용,미활용,봉화,물야초등학교 오전분교장,1997,경상북도 봉화군 물야면 오전길 24,948,8099,0
대부,대부,봉화,명호초등학교 북곡분교장,2013,경상북도 봉화군 명호면 북곡길 21-7,901,8500,0
미활용,미활용,봉화,봉화중학교 봉성분교장,2010,경상북도 봉화군 봉성면 미륵골길 32-27,1144,48270,0
미활용,미활용,봉화,소천초등학교 임기분교장,2024,경상북도 봉화군 소천면 임기로 29,1148,8308,0
