연번,학교명,폐교년월일,소재지,토지대부면적(제곱미터),건물대부면적(제곱미터),대부용도,대부기간(시작),대부기간(종료),대부료(천원),대부받은 자,통합학교
1, 장전초금덕분교장,1992-03-01,애월읍 유수암리 1387,6142,171.42,유수암상동 영농체험학교,2025-07-01,2027-06-30,무상,유수암상동 마을회장,장전초
2, 어도초어음분교장,1999-03-25,애월읍 어음리 2922,4331,317.01,"카페 및 게스트하우스 운영, 지역주민 프로그램 운영",2026-01-01,2027-12-31,무상,어음2리장,어도초
3, 신창중학교,1998-03-01,한경면 신창리 135,12677,0,지역주민을 위한 생활체육시설 이용,2025-09-22,2035-09-21,무상,제주시장,신창초중
4, 용수초등학교,1995-03-01,한경면 용수리 3533,12395,614.28,주민공동이용시설 및 생활체육시설,2024-07-01,2027-06-30,무상,한경면장,신창초중
5, 조수초등학교,1995-03-01,한경면 조수리 315,11709,1000.6,"게스트하우스 및 생활문화체험전시관, 지역주민 체력단련실 등",2026-01-01,2027-12-31,무상,조수1리장,신창초중
6, 고산초산양분교장,1995-03-01,한경면 청수리 3338,10965,1077.41,문화창작공간(예술곶 산양) 조성 및 운영,2023-01-01,2027-12-31,무상,제주특별자치도지사,고산초
7, 판포초등학교,1996-03-01,한경면 판포리 2846-1,7954,0,지역주민을 위한 생활체육시설 이용,2021-12-01,2026-11-30,무상,한경면장,신창초중
8, 연평초등학교,2000-03-01,우도면 연평리 1457,12984,0,"지역주민 편의시설, 관광객 휴식공간, 체육시설 운영",2024-01-01,2026-12-31,무상,우도면장,우도초중
9, 연평초등학교,2000-03-01,우도면 연평리 1407,662,264.8,우도면 주민복지사업,2025-05-01,2026-04-30,897,동제주종합사회복지관,우도초중
10, 안덕초대평분교장,1996-03-01,안덕면 창천리 850,12221,799.14,난드르 복합문화센터 운영,2026-01-01,2027-12-31,무상,대평리장,안덕초
11, 서광초동광분교장,2009-03-01,안덕면 동광리 976,12308,481.15,체험마을 운영 및 주민 편의 제공,2026-01-01,2027-12-31,무상,동광리장,서광초
12, 보성초신평분교장,1992-03-01,대정읍 신평리 371-1,9640,356.1,생태체험학교 및 주민이용시설 운영,2026-01-01,2027-12-31,무상,신평리장,보성초
13, 무릉초무릉동분교장,1994-03-01,대정읍 무릉리 581-1,8750,582.3,"마을 농산물 직거래 장터, 체험장, 카페운영을 통한 마을 소득 창출",2026-01-01,2027-12-31,무상,무릉2리장,무릉초중
14, 보성초구억분교장,1995-03-01,대정읍 구억리 889-1,4975,399.05,옹기전시 판매장 및 마을도서관 등 운영,2026-01-01,2027-12-31,무상,구억리장,보성초
15, 신산초난산분교장,1995-03-01,성산읍 난산리 1109,8286,0,지역주민을 위한 생활체육시설 이용,2026-01-01,2028-12-31,무상,성산읍장,신산초중
16, 풍천초신풍분교장,1996-03-01,성산읍 신풍리 500,9285,625.94,어멍아방잔치마을 통합교류센터 운영,2026-01-01,2027-12-31,무상,신풍리장,풍천초
17, 신산초삼달분교장,1998-03-01,성산읍 삼달리 437-5,8628,946.85,김영갑갤러리 두모악 미술관,2026-01-01,2027-12-31,6335,(사)김영갑갤러리두모악,신산초중
18, 화산초등학교,2001-03-01,표선면 세화리 1811-1,11991,1243.75,제주 전통문화 체험관,2026-01-01,2026-12-31,10678,강OO,한마음초
